uid,sid
25,45
25,151
25,306
25,350
25,250
26,251
26,341
26,103
26,204
26,300
26,314
26,331
26,292
26,285
26,228
26,60
26,212
26,104
26,121
26,322
27,228
27,134
27,3
27,348
27,133
27,146
27,93
27,143
27,232
27,104
27,217
27,169
27,323
27,91
27,275
27,124
27,31
27,180
28,295
28,31
28,69
28,98
28,227
28,55
28,127
28,102
28,130
28,93
28,138
28,301
28,313
28,212
28,165
29,176
29,344
29,277
29,270
29,60
29,203
29,266
29,12
30,259
30,274
30,283
30,300
30,209
30,344
30,314
30,150
30,154
30,98
30,238
30,180
30,275
30,228
30,144
30,232
30,185
30,258
30,279
30,288
30,127
31,300
31,127
31,133
31,95
31,89
31,339
31,206
31,344
31,275
31,207
31,26
31,53
31,222
31,269
32,73
32,215
32,273
32,93
32,44
32,171
32,218
32,326
32,278
32,298
33,259
33,228
33,114
33,318
33,180
33,158
33,23
33,90
33,289
33,226
33,137
33,61
33,300
33,146
33,139
33,161
33,154
33,109
33,60
33,168
33,313
33,67
33,194
33,127
33,271
33,270
33,79
33,344
34,206
34,310
34,344
34,300
34,98
34,154
34,313
34,334
34,77
35,288
35,321
35,144
35,100
35,318
35,146
35,124
35,57
35,191
35,217
35,223
35,98
35,157
36,301
36,174
36,102
36,5
36,165
36,56
36,171
36,137
36,40
36,87
36,122
36,98
36,160
36,227
36,148
36,161
37,23
37,289
37,60
37,72
37,350
37,275
37,320
37,4
37,107
37,41
37,144
37,182
37,319
37,300
37,104
38,330
38,257
38,87
38,63
38,193
38,212
38,344
38,255
38,286
38,180
38,228
38,248
39,154
39,313
39,167
39,302
39,264
39,144
39,212
39,31
39,130
39,314
39,327
39,45
39,133
39,147
39,141
39,275
39,315
39,98
40,184
40,111
40,341
40,311
40,318
40,104
40,228
40,183
40,227
40,124
40,98
40,60
40,279
40,258
40,320
40,41
40,275
40,70
40,144
40,80
40,269
40,61
40,33
41,274
41,108
41,249
41,299
41,270
41,344
41,153
41,341
41,273
41,316
41,275
41,313
41,186
41,154
41,60
41,217
41,198
41,90
41,25
41,182
41,227
41,226
41,218
41,41
41,228
42,102
42,167
42,196
42,93
42,146
42,219
42,98
42,104
42,344
42,36
42,60
42,67
42,174
42,233
42,301
42,300
42,129
42,111
43,247
43,218
43,154
43,111
43,181
43,277
43,344
43,184
43,337
43,283
43,68
43,301
43,60
43,98
43,66
43,197
44,47
44,141
44,293
44,73
44,65
44,66
44,85
44,54
44,239
44,83
44,233
44,273
44,331
45,345
45,222
45,323
45,67
45,144
45,143
45,344
45,227
45,59
45,95
45,21
45,145
45,292
45,305
45,77
45,154
45,131
45,341
46,300
46,1
46,93
46,154
46,351
46,228
46,275
46,204
46,254
46,67
46,22
46,104
46,217
46,114
46,53
46,219
46,98
46,243
46,172
46,144
47,149
47,344
47,216
47,15
47,154
47,34
47,218
47,225
47,163
47,86
47,300
47,169
47,85
47,266
47,39
47,331
48,171
48,31
48,137
48,75
48,134
48,33
48,162
48,102
48,5
48,298
48,164
48,45
49,53
49,154
49,213
49,60
49,310
49,300
49,164
49,275
49,217
49,325
49,92
49,4
49,16
50,292
50,260
50,61
50,300
50,180
50,275
50,30
50,344
50,167
51,66
51,154
51,93
51,162
51,277
51,344
51,180
51,106
51,60
52,144
52,141
52,142
52,180
52,82
52,19
52,228
52,60
52,344
52,219
52,53
52,207
52,30
53,97
53,180
53,256
53,142
53,82
53,310
53,227
53,206
53,263
53,323
53,91
53,89
53,165
53,341
53,95
53,98
54,75
54,66
54,139
54,31
54,123
54,94
54,233
54,137
54,60
54,28
54,65
55,77
55,258
55,166
55,341
55,60
55,134
55,55
55,237
55,230
55,228
56,273
56,283
56,336
56,233
56,328
56,98
56,194
56,253
56,171
56,148
56,351
56,60
56,52
57,26
57,133
57,227
57,310
57,77
57,157
57,275
57,95
57,246
57,293
57,92
57,222
58,301
58,134
58,171
58,47
58,0
58,3
58,102
58,193
58,66
58,272
58,148
58,344
58,101
58,293
58,160
58,180
58,42
58,118
58,46
58,44
58,31
59,154
59,134
59,344
59,76
59,319
59,161
59,218
59,198
59,227
59,42
59,346
59,60
59,80
59,341
60,259
60,161
60,43
60,98
60,301
60,326
60,144
60,160
60,137
60,189
60,211
60,13
60,302
60,158
60,168
60,58
60,208
60,22
61,344
61,9
61,76
61,180
61,212
61,228
61,341
61,218
61,174
61,144
62,16
62,9
62,238
62,17
62,275
62,228
62,262
62,223
62,277
62,188
62,181
62,265
62,316
62,217
62,124
62,154
63,134
63,13
63,273
63,7
63,124
63,296
63,93
63,232
63,98
63,144
64,31
64,169
64,43
64,2
64,136
64,66
64,162
65,316
65,66
65,267
65,175
65,73
65,302
65,343
65,228
65,46
65,31
66,286
66,98
66,275
66,21
66,283
66,155
66,301
66,64
66,111
66,271
66,288
66,316
66,56
66,344
66,228
66,218
66,251
67,301
67,102
67,351
67,240
67,273
67,98
67,196
67,31
67,111
67,275
67,338
67,49
67,171
67,57
67,223
67,216
67,300
67,127
67,218
67,115
67,180
67,148
67,144
67,328
67,198
67,0
67,337
67,269
67,183
67,182
67,288
67,186
67,341
68,306
68,217
68,254
68,300
68,144
68,98
68,332
68,201
68,158
68,288
68,63
68,1
68,215
68,150
68,344
69,254
69,75
69,289
69,60
69,76
69,218
69,273
69,214
69,55
69,27
69,261
69,301
69,316
69,275
69,262
69,251
70,228
70,124
70,270
70,69
70,275
70,340
70,204
71,158
71,314
71,114
71,89
71,300
71,133
71,199
71,202
71,95
71,143
71,263
71,310
71,145
71,207
71,222
71,275
71,221
71,344
71,92
72,301
72,87
72,68
72,102
72,160
72,52
72,118
72,3
72,171
72,122
72,220
72,60
72,73
72,300
72,285
73,341
73,75
73,247
73,210
73,296
73,98
73,326
73,66
73,124
73,71
73,64
73,313
74,102
74,240
74,31
74,317
74,144
74,228
74,164
74,300
74,264
74,301
75,83
75,144
75,45
75,31
75,300
75,137
75,282
75,73
75,154
76,277
76,166
76,154
76,301
76,321
76,344
76,341
76,22
76,231
76,45
76,66
76,300
77,228
77,98
77,215
77,295
77,173
77,18
78,259
78,158
78,98
78,27
78,154
78,47
78,144
78,344
78,300
78,139
78,50
78,218
78,301
78,181
78,169
79,258
79,313
79,62
79,137
79,46
79,264
79,60
79,29
79,164
79,31
79,333
79,249
79,134
79,300
79,301
79,293
79,233
79,66
80,102
80,13
80,17
80,218
80,106
80,192
80,289
80,23
80,169
80,325
80,275
80,0
80,313
81,134
81,139
81,144
81,92
81,300
81,98
81,31
81,55
81,192
81,84
81,14
81,195
81,288
81,217
82,180
82,223
82,350
82,144
82,60
82,104
82,98
82,288
82,103
82,314
82,309
82,1
82,320
82,275
83,4
83,344
83,191
83,301
83,341
83,217
83,288
83,99
83,93
83,316
83,82
83,183
83,286
83,124
83,43
84,233
84,74
84,66
84,23
84,293
84,31
84,156
84,93
84,101
84,323
84,288
84,227
84,4
85,200
85,300
85,121
85,237
85,154
85,195
85,344
85,11
85,217
85,304
85,216
86,330
86,60
86,175
86,344
86,212
86,244
87,228
87,144
87,105
87,315
87,111
87,279
87,310
87,180
87,205
87,98
87,238
88,81
88,222
88,341
88,344
88,170
88,53
89,300
89,66
89,47
89,106
89,60
89,31
89,285
89,348
90,274
90,275
90,341
90,299
90,108
90,186
90,270
90,292
90,144
90,67
90,81
90,251
90,314
90,128
90,344
91,231
91,255
91,103
91,24
91,5
91,320
91,154
91,60
92,102
92,231
92,43
92,301
92,226
92,275
92,232
92,137
92,338
92,350
93,224
93,147
93,313
93,297
93,344
93,48
93,37
94,134
94,303
94,211
94,98
94,300
94,14
94,1
94,172
94,156
94,201
94,216
94,349
95,0
95,97
95,257
95,134
95,161
95,164
95,49
95,151
95,295
95,96
95,203
95,250
95,158
95,70
95,329
95,328
95,300
95,324
95,81
96,227
96,318
96,17
96,139
96,106
96,60
96,66
96,104
97,286
97,97
97,43
97,137
97,193
97,54
97,166
97,332
97,94
97,294
97,64
97,31
97,133
97,189
97,240
97,231
97,186
97,220
97,217
98,321
98,344
98,268
98,212
98,290
98,269
98,341
98,275
98,180
99,270
99,32
99,255
99,275
99,166
99,17
99,53
99,261
99,341
99,154
99,288
99,228
99,344
99,63
99,283
99,271
99,226
99,108
99,272
99,212
99,279
99,319
99,30
100,36
100,161
100,344
100,158
100,301
100,308
100,134
100,165
100,287
100,272
100,81
101,8
101,102
101,39
101,15
101,179
101,27
101,289
101,66
101,266
102,275
102,98
102,216
102,191
102,270
102,157
102,180
102,154
102,284
102,93
102,313
102,273
102,288
102,344
102,236
102,146
102,171
102,88
102,186
103,87
103,83
103,102
103,228
103,98
103,84
103,188
103,31
103,174
103,54
103,120
103,66
103,294
103,40
104,154
104,246
104,31
104,20
104,169
104,5
104,139
104,248
104,257
104,16
105,97
105,59
105,143
105,98
105,334
105,180
105,222
105,133
105,310
105,93
106,209
106,206
106,26
106,228
106,227
106,222
106,98
106,264
106,275
106,287
106,213
107,180
107,275
107,227
107,183
107,98
107,61
107,59
107,69
107,92
107,213
107,208
107,145
107,300
107,204
107,206
107,344
107,154
107,157
107,269
107,177
107,142
108,161
108,43
108,137
108,301
108,135
108,102
108,94
108,168
108,134
108,98
108,93
108,36
108,180
108,320
108,229
108,272
108,127
108,57
108,303
108,154
108,67
109,89
109,95
109,165
109,143
109,287
109,351
109,121
109,202
109,300
109,77
109,344
109,263
109,258
110,11
110,275
110,269
110,187
110,99
111,286
111,227
111,161
111,134
111,254
111,160
111,301
111,98
111,331
111,338
111,343
111,304
111,272
111,243
112,33
112,31
112,60
112,175
112,212
112,93
112,45
112,29
112,227
112,162
112,323
112,244
112,164
112,197
112,182
113,51
113,171
113,248
113,68
113,31
113,228
113,338
113,300
113,331
113,173
113,307
114,348
114,39
114,34
114,86
114,15
114,31
114,174
115,51
115,171
115,8
115,301
115,344
115,60
115,45
115,272
115,337
115,61
115,339
115,154
115,37
116,134
116,168
116,20
116,15
116,39
116,34
116,86
116,276
116,234
116,85
116,228
116,327
116,252
117,0
117,52
117,189
117,32
117,220
117,183
117,140
117,139
117,35
117,31
117,288
117,180
117,118
117,60
117,171
117,45
117,348
117,40
117,153
118,31
118,66
118,164
118,227
118,169
118,215
118,33
118,134
118,98
119,154
119,247
119,300
119,292
119,257
119,152
119,274
119,238
119,22
119,124
119,249
119,57
119,144
119,341
119,344
119,301
119,228
119,111
119,255
119,218
119,316
119,273
120,314
120,60
120,212
120,265
120,302
120,103
120,344
120,167
120,182
120,282
120,238
121,328
121,79
121,255
121,134
121,181
121,301
121,332
121,240
121,169
121,61
121,43
121,210
121,94
121,109
121,37
121,2
122,259
122,13
122,98
122,288
122,321
122,227
122,64
123,60
123,313
123,227
123,217
123,216
123,232
123,300
124,97
124,350
124,147
124,53
124,189
124,227
124,150
124,37
124,272
124,194
124,303
124,304
124,328
125,161
125,248
125,40
125,139
125,6
125,199
125,215
125,47
125,31
125,154
125,48
125,278
125,107
125,300
126,51
126,341
126,134
126,154
126,53
126,269
126,137
126,229
126,300
126,313
126,301
126,276
126,195
126,67
126,48
126,98
127,168
127,193
127,211
127,288
127,292
128,301
128,68
128,134
128,122
128,49
128,148
128,135
128,295
128,102
128,190
128,189
128,169
128,338
129,300
129,132
129,66
129,31
129,98
129,228
129,288
129,280
129,74
129,134
129,139
129,233
129,235
130,149
130,344
130,300
130,39
130,85
130,125
130,15
130,80
130,178
130,138
130,66
130,227
131,144
131,83
131,54
131,231
131,4
131,65
131,300
131,41
131,73
131,218
131,93
131,31
131,67
131,133
131,331
131,347
132,330
132,102
132,180
132,144
132,316
132,154
132,228
132,313
132,115
132,130
132,108
132,0
132,344
132,32
132,60
132,350
132,218
132,341
133,176
133,154
133,228
133,182
133,344
133,180
133,80
133,126
134,254
134,227
134,107
134,54
134,154
134,294
134,102
134,140
134,66
134,344
134,144
134,31
134,110
134,87
134,4
134,116
134,148
135,32
135,314
135,350
135,33
135,144
135,264
135,93
135,29
135,208
135,98
135,300
135,147
135,344
135,26
135,60
135,164
135,269
135,288
135,2
136,162
136,228
136,66
136,18
136,300
136,217
136,124
136,185
136,293
136,155
136,31
136,288
136,64
136,41
136,301
136,268
136,320
136,132
136,218
137,114
137,301
137,93
137,233
137,333
137,239
137,66
137,31
137,102
137,190
137,180
137,125
138,301
138,53
138,17
138,257
138,288
138,284
138,113
138,172
138,300
138,311
138,211
138,98
138,275
138,312
138,57
138,11
138,119
138,1
138,304
138,186
138,221
138,64
138,344
138,196
138,219
138,134
138,201
138,303
138,93
139,245
139,17
139,10
139,344
139,31
139,111
139,60
139,66
139,67
139,350
140,79
140,171
140,180
140,301
140,348
140,44
140,102
140,31
140,190
140,333
140,62
140,218
140,28
140,137
141,31
141,102
141,84
141,283
141,57
141,18
141,275
141,293
141,288
141,273
141,300
141,130
141,64
141,228
141,344
141,210
141,144
141,204
141,158
141,93
141,61
141,222
141,321
141,53
141,258
142,154
142,53
142,332
142,228
142,186
142,300
142,335
142,288
142,1
142,215
143,270
143,16
143,247
143,162
143,218
143,208
143,324
143,6
143,126
143,22
143,329
143,53
143,275
143,300
143,144
143,271
143,64
144,16
144,102
144,162
144,61
144,230
144,79
144,98
144,301
144,344
144,218
144,228
144,23
144,258
144,2
144,18
144,350
144,300
145,97
145,227
145,139
145,246
145,154
145,31
145,345
145,256
145,270
145,344
146,344
146,148
146,306
146,326
146,164
147,259
147,129
147,13
147,81
147,154
148,248
148,137
148,84
148,301
148,294
148,164
148,346
148,31
148,134
148,337
148,161
148,338
148,348
149,301
149,154
149,247
149,348
149,120
149,61
149,102
149,173
149,137
149,134
149,37
149,122
149,101
149,118
149,300
149,69
149,307
149,158
149,78
149,288
150,102
150,8
150,134
150,300
150,140
150,5
150,55
150,73
150,235
150,66
150,293
150,31
150,116
150,233
151,270
151,350
151,197
151,53
151,225
151,211
151,22
151,300
151,311
151,215
151,344
151,288
151,1
151,216
151,180
151,14
151,111
151,217
152,54
152,286
152,139
152,136
152,66
152,31
152,154
152,60
152,124
152,6
152,93
152,293
152,233
152,98
153,43
153,341
153,161
153,270
153,228
153,249
153,134
153,202
153,33
153,144
153,22
153,329
153,275
153,98
153,328
153,164
153,217
153,127
153,326
153,205
153,321
154,344
154,275
154,230
154,209
154,30
154,341
154,303
155,344
155,259
155,149
155,39
155,163
155,154
155,252
155,34
155,15
155,331
156,270
156,60
156,186
156,223
156,180
156,279
156,115
156,275
156,217
156,344
157,172
157,303
157,216
157,184
157,204
157,299
157,288
157,217
157,270
157,219
157,336
157,124
157,344
157,185
157,111
157,1
157,64
157,152
157,212
157,333
158,308
158,343
158,98
158,281
158,57
158,133
158,26
159,205
159,98
159,105
159,144
159,293
159,82
159,218
159,104
159,313
159,30
159,346
159,256
160,154
160,193
160,166
160,194
160,31
160,137
160,276
160,27
160,35
160,344
160,218
160,116
160,249
161,97
161,250
161,133
161,2
161,53
162,183
162,93
162,254
162,32
162,301
162,134
162,98
162,131
162,67
162,102
162,272
162,66
162,350
162,139
163,258
163,31
163,220
163,180
163,175
163,300
163,341
163,316
163,344
163,76
163,288
163,218
163,137
163,42
163,278
164,154
164,133
164,98
164,175
164,344
164,63
164,93
164,11
164,228
164,115
164,182
164,288
164,4
164,217
164,183
164,80
164,173
164,121
165,344
165,154
165,133
165,98
165,175
165,228
165,115
165,182
165,288
165,4
165,93
165,183
165,82
165,350
165,200
165,258
165,219
165,205
165,256
166,228
166,54
166,75
166,166
166,124
166,120
166,66
166,31
166,271
166,321
166,236
166,60
166,275
166,99
166,293
167,25
167,116
167,300
167,211
167,240
167,191
167,313
167,112
167,321
167,344
167,311
167,218
167,125
167,156
167,154
167,307
167,319
167,226
167,29
167,274
167,341
167,273
168,286
168,60
168,250
168,175
168,300
168,98
169,144
169,341
169,98
169,237
169,238
169,60
169,280
169,30
169,300
169,344
169,218
169,258
169,64
169,290
169,183
169,93
169,350
170,193
170,162
170,166
170,31
170,228
170,48
170,159
170,82
170,304
170,215
170,344
170,102
170,224
171,259
171,93
171,257
171,144
171,102
171,134
171,160
171,294
171,94
171,161
171,228
171,60
171,136
171,50
171,137
171,270
171,135
172,154
172,196
172,238
172,60
172,12
172,341
172,217
172,167
172,262
172,316
172,270
172,315
172,306
172,344
172,227
172,183
173,272
173,32
173,196
173,307
173,311
173,98
173,251
173,30
173,317
173,288
173,224
173,228
173,290
173,112
173,49
173,315
173,273
173,319
173,227
173,262
173,24
174,258
174,135
174,180
174,250
174,206
175,189
175,139
175,102
175,134
175,87
175,93
175,144
175,236
175,151
175,98
175,43
175,161
175,351
175,275
175,96
175,301
176,134
176,43
176,229
176,272
176,257
176,161
176,137
176,109
176,168
176,158
176,94
176,220
176,135
176,36
176,37
176,160
176,98
176,42
176,127
176,148
176,351
176,190
176,122
177,242
177,206
177,177
177,117
177,38
177,157
177,154
177,300
178,114
178,308
178,133
178,4
178,177
178,300
178,258
179,127
179,334
179,227
179,222
179,98
180,263
180,133
180,207
180,344
180,138
180,310
180,288
180,174
180,121
180,145
180,59
181,228
181,53
181,144
181,284
181,1
181,131
181,216
181,217
181,300
181,270
181,22
181,327
181,226
181,204
181,344
181,275
181,288
181,98
182,274
182,104
182,302
182,124
182,20
182,144
182,208
182,320
182,197
182,187
182,217
182,4
182,174
182,333
182,111
182,323
182,228
182,318
182,288
182,212
182,100
182,130
182,180
182,275
182,345
182,186
183,84
183,220
183,76
183,66
183,232
183,241
183,316
183,137
183,296
184,168
184,102
184,300
184,76
184,98
184,344
184,262
184,128
184,180
184,91
184,10
184,258
185,97
185,51
185,154
185,68
185,301
185,332
185,247
185,275
185,240
185,217
185,226
185,180
185,212
185,344
185,216
186,245
186,330
186,32
186,107
186,83
186,54
186,228
186,314
186,106
186,72
186,275
186,284
186,60
186,262
186,23
187,162
187,275
187,228
187,24
187,344
187,111
187,216
187,173
187,271
187,167
187,311
188,259
188,31
188,240
188,39
188,227
188,65
189,86
189,154
189,39
189,163
189,4
189,266
189,261
190,39
190,86
190,85
190,163
190,66
190,215
190,149
190,234
190,300
190,101
190,178
191,127
191,75
191,98
191,102
191,120
191,49
191,227
191,344
191,272
191,165
191,33
191,255
191,101
191,148
191,134
191,190
191,69
191,94
192,51
192,344
192,98
192,275
192,283
192,300
192,317
192,157
192,279
192,303
192,14
192,215
192,228
192,103
192,180
192,69
192,336
192,335
192,218
192,167
193,31
193,184
193,102
193,168
193,295
193,161
193,134
193,37
193,190
193,164
193,2
193,229
193,130
193,227
194,171
194,25
194,227
194,341
194,275
194,333
194,242
194,164
194,41
194,98
194,30
195,348
195,124
195,197
195,301
195,171
195,120
195,29
195,344
195,60
195,286
195,328
195,53
195,333
195,335
195,270
195,329
195,275
195,255
195,296
195,324
195,204
195,31
195,247
195,66
195,108
195,111
195,299
196,98
196,60
196,144
196,157
196,31
196,180
196,233
196,288
196,114
196,285
196,4
196,168
196,311
197,97
197,102
197,53
197,294
197,288
197,156
197,150
197,98
197,0
197,66
197,116
197,101
197,169
197,87
197,31
197,227
197,344
197,23
197,171
197,285
197,37
197,301
197,110
197,300
198,98
198,313
198,349
198,31
198,121
198,344
198,293
199,155
199,332
199,313
199,241
199,349
199,92
199,154
199,218
199,293
199,243
199,58
199,333
200,286
200,258
200,185
200,217
200,300
200,225
200,332
200,111
200,211
200,210
200,202
200,98
200,180
200,302
201,158
201,330
201,256
201,263
201,98
201,275
201,144
201,344
201,269
201,282
201,169
201,300
201,205
201,30
201,345
201,229
201,114
201,341
201,338
201,138
202,145
202,288
202,133
202,180
202,135
202,344
202,275
202,93
202,315
202,297
202,112
202,142
203,111
203,62
203,314
203,291
203,228
203,180
203,198
204,342
204,121
204,249
204,289
204,154
204,67
204,344
204,275
204,295
204,47
204,303
204,71
204,299
204,76
204,138
204,31
204,7
204,301
204,130
204,320
205,170
205,121
205,313
205,227
205,300
205,222
205,53
206,53
206,307
206,190
206,144
206,22
206,225
206,348
206,228
206,275
206,98
206,131
206,300
206,227
206,57
206,139
206,111
207,248
207,241
207,284
207,344
207,98
207,180
207,159
207,300
207,336
207,314
207,279
207,67
207,309
207,288
207,186
207,331
207,238
207,228
207,111
208,227
208,9
208,113
208,307
208,317
208,344
208,340
208,216
208,284
208,186
208,144
208,314
208,301
208,300
208,217
208,228
208,146
208,90
208,180
208,154
208,10
208,51
208,312
209,332
209,216
209,307
209,184
209,154
209,275
209,273
209,82
209,317
209,109
209,313
210,259
210,254
210,51
210,8
210,109
210,247
210,96
210,301
210,144
210,217
210,340
210,93
210,98
210,288
210,122
211,46
211,171
211,8
211,102
211,83
211,5
211,84
211,31
211,36
211,71
211,245
211,294
211,65
211,66
211,190
212,342
212,53
212,225
212,50
212,144
212,344
212,98
212,275
212,56
212,271
212,300
212,218
212,321
212,172
213,158
213,145
213,59
213,93
213,53
213,95
213,144
213,265
213,160
213,143
213,103
213,258
213,229
213,90
213,60
213,98
213,232
213,227
214,158
214,228
214,95
214,308
214,98
214,121
214,202
214,53
214,145
214,300
214,213
215,255
215,139
215,254
215,84
215,39
215,46
215,43
215,171
215,156
215,116
215,288
215,54
215,98
215,66
215,148
215,101
215,45
216,134
216,272
216,34
216,276
216,15
216,234
216,39
216,36
216,86
216,85
217,17
217,270
217,292
217,325
217,275
217,320
217,341
217,335
217,299
217,180
217,67
217,289
217,150
217,196
217,128
217,144
217,344
217,105
217,228
217,226
217,108
217,232
217,290
217,111
217,314
217,296
217,80
218,116
218,134
218,228
218,326
218,60
218,344
219,97
219,301
219,43
219,49
219,84
219,156
219,134
219,189
219,100
219,31
219,102
219,33
219,3
219,294
219,240
219,66
219,255
219,37
219,239
219,337
219,218
219,150
220,301
220,134
220,68
220,160
220,158
220,168
220,98
220,303
220,276
220,43
220,237
220,93
220,258
220,161
220,344
220,171
220,14
220,217
220,272
220,135
221,222
221,227
221,121
221,91
221,275
221,180
222,341
222,232
222,258
222,53
222,93
222,217
222,60
222,28
222,273
222,300
222,275
222,106
223,98
223,243
223,181
223,288
223,57
223,229
224,330
224,228
224,187
224,167
224,238
224,315
224,204
225,330
225,88
225,343
225,238
225,344
225,60
225,203
225,176
225,150
225,154
225,173
225,268
226,25
226,330
226,139
226,83
226,182
226,84
226,54
226,120
226,341
226,270
226,275
226,335
226,11
226,20
226,228
226,337
226,198
226,31
226,180
226,61
227,227
227,301
227,92
227,50
227,351
227,341
227,173
227,346
227,344
227,343
227,290
227,273
227,98
227,154
228,330
228,274
228,50
228,33
228,344
228,66
228,250
228,279
228,251
228,173
228,299
228,73
228,228
228,7
228,108
229,32
229,231
229,87
229,308
229,300
229,154
229,106
229,69
229,344
229,76
229,67
229,138
230,95
230,98
230,308
230,222
230,53
230,227
230,344
230,300
230,158
230,288
230,258
230,186
230,80
230,19
230,82
231,330
231,255
231,107
231,75
231,20
231,275
231,285
231,0
231,316
231,66
231,112
231,228
231,180
231,341
231,134
231,344
231,25
231,41
231,144
231,98
231,323
231,111
231,31
232,301
232,204
232,316
232,317
232,240
232,351
232,184
232,183
232,66
232,60
232,277
232,128
232,228
232,154
232,115
232,53
233,75
233,249
233,155
233,31
233,133
233,107
233,300
233,106
233,66
234,171
234,98
234,112
234,184
234,217
234,1
234,238
234,274
234,150
234,60
234,316
234,242
234,110
234,229
235,301
235,171
235,257
235,71
235,144
235,300
235,31
235,64
235,316
235,197
235,267
235,288
235,70
235,271
236,270
236,301
236,140
236,35
236,300
236,341
236,289
236,233
236,312
236,4
236,23
236,67
236,112
236,299
236,111
236,171
236,134
236,290
236,272
236,125
236,57
236,293
236,196
237,133
237,31
237,7
237,66
237,123
237,99
237,139
237,275
237,108
237,217
237,286
237,60
237,106
237,344
238,32
238,83
238,107
238,289
238,139
238,241
238,344
238,245
238,227
238,106
238,300
238,133
238,31
239,269
239,240
239,154
239,53
239,216
239,28
239,98
239,227
239,348
239,351
239,169
239,40
239,275
239,10
239,45
240,301
240,171
240,68
240,102
240,31
240,329
240,239
240,2
240,227
240,23
240,338
240,53
240,44
241,158
241,270
241,216
241,154
241,228
241,1
241,347
241,144
241,344
241,188
241,214
241,173
241,314
241,109
241,218
241,232
241,273
241,196
241,36
242,107
242,93
242,66
242,55
242,74
242,31
242,167
243,180
243,238
243,300
243,101
243,93
243,314
243,139
243,31
243,181
243,23
243,182
243,299
243,230
243,204
243,228
243,350
244,95
244,227
244,281
244,344
244,334
244,321
244,170
245,87
245,52
245,235
245,31
245,73
245,66
245,293
246,261
246,275
246,289
246,344
246,320
246,174
246,162
246,134
246,301
246,93
246,45
247,256
247,121
247,344
247,313
247,143
247,174
247,310
247,77
248,53
248,227
248,133
248,95
248,127
248,67
248,293
248,209
248,344
248,114
248,38
249,98
249,246
249,308
249,220
249,121
249,125
249,229
249,81
250,258
250,134
250,52
250,231
250,84
250,93
250,64
250,350
250,10
250,227
250,226
250,30
250,61
251,227
251,38
251,264
251,222
251,313
251,310
251,293
251,229
251,209
251,174
252,121
252,26
252,110
252,334
252,60
252,293
252,98
252,227
253,274
253,124
253,275
253,335
253,228
253,30
253,111
253,290
253,299
253,242
253,4
253,269
253,11
253,341
253,253
253,270
